Date,Open,High,Low,Close,Adj Close,Volume
2019-12-03,45.189999,45.209999,44.000000,44.590000,44.365746,8611400
2019-12-04,44.700001,45.750000,44.000000,44.070000,43.848358,14590900
2019-12-05,44.279999,45.189999,44.070000,44.889999,44.664238,9759600
2019-12-06,45.020000,45.590000,44.799999,45.400002,45.171673,7553200
2019-12-09,45.400002,46.500000,45.320000,45.849998,45.619404,12761500
2019-12-10,45.939999,46.599998,45.299999,46.599998,46.365635,8437900
2019-12-11,46.880001,47.900002,46.650002,47.580002,47.340710,11267900
2019-12-12,47.959999,48.369999,47.529999,47.830002,47.589455,9065400
2019-12-13,48.299999,49.660000,48.000000,49.070000,48.823215,13658200
2019-12-16,49.490002,49.880001,48.660000,49.299999,49.052055,10686500
2019-12-17,49.389999,49.389999,47.230000,47.880001,47.639198,12119300
2019-12-18,48.150002,49.000000,47.660000,48.529999,48.285931,10302500
2019-12-19,48.529999,48.730000,47.900002,48.619999,48.375477,7519900
2019-12-20,48.619999,49.029999,47.959999,48.590000,48.345627,9185700
2019-12-23,48.599998,49.250000,48.400002,48.740002,48.494877,6502300
2019-12-26,48.799999,49.099998,48.630001,49.090000,48.843113,4849300
2019-12-27,49.150002,49.410000,48.150002,48.730000,48.484921,5924900
2019-12-30,48.799999,48.990002,47.509998,47.700001,47.460106,8087600
2020-01-02,48.299999,49.330002,47.709999,49.330002,49.118763,7400200
2020-01-03,48.500000,49.330002,48.299999,48.889999,48.680645,6684400
2020-01-06,48.400002,49.310001,47.799999,48.930000,48.720474,6839800
2020-01-07,48.939999,49.200001,48.500000,48.790001,48.581074,6704700
2020-01-08,48.619999,50.349998,48.500000,50.290001,50.074650,10001800
2020-01-09,50.500000,52.230000,50.419998,52.080002,51.856987,11030000
2020-01-10,52.090000,53.049999,51.049999,51.799999,51.578182,9371100
2020-01-13,52.200001,54.230000,52.150002,54.230000,53.997776,8576800
2020-01-14,54.000000,55.049999,53.599998,54.000000,53.768761,8295200
2020-01-15,53.680000,54.360001,53.200001,53.660000,53.430218,9241400
2020-01-16,54.200001,54.720001,52.299999,53.459999,53.231075,8378800
2020-01-17,53.799999,54.430000,53.099998,54.349998,54.117264,6046000
2020-01-20,54.119999,56.000000,54.049999,56.000000,55.760197,7405900
2020-01-21,55.720001,56.740002,55.610001,55.910000,55.670582,8064300
2020-01-22,56.509998,57.099998,54.830002,55.689999,55.451523,9015600
2020-01-23,55.680000,56.720001,54.930000,56.580002,56.337715,8184900
2020-01-24,56.770000,57.049999,56.000000,56.150002,55.909557,7518700
2020-01-27,55.049999,55.299999,53.750000,53.799999,53.569618,7523800
2020-01-28,54.009998,56.990002,54.009998,56.990002,56.745960,10356400
2020-01-29,57.509998,58.090000,56.650002,57.290001,57.044674,9949500
2020-01-30,56.369999,56.700001,55.020000,56.500000,56.258057,11075900
2020-01-31,55.639999,57.150002,55.200001,55.799999,55.561054,9695300
2020-02-03,56.480000,56.950001,55.660000,56.529999,56.287926,6141500
2020-02-04,57.599998,58.669998,57.130001,57.660000,57.413090,8218200
2020-02-05,58.500000,58.840000,57.029999,57.299999,57.054630,8621100
2020-02-06,58.000000,58.150002,55.799999,55.830002,55.590927,10291000
2020-02-07,55.700001,55.930000,53.500000,54.230000,53.997776,9770800
2020-02-10,54.000000,55.529999,51.540001,52.380001,52.155701,12831200
2020-02-11,53.200001,54.799999,51.730000,54.270000,54.037605,9488700
2020-02-12,54.529999,56.549999,54.250000,55.939999,55.700455,10526000
2020-02-13,54.919998,57.299999,54.099998,57.049999,56.805702,13744600
2020-02-14,57.599998,57.959999,56.000000,56.330002,56.088787,9170000
2020-02-17,58.000000,59.919998,57.150002,58.849998,58.597992,18443800
2020-02-18,58.250000,59.099998,57.500000,58.220001,57.970692,9558500
2020-02-19,58.349998,58.900002,57.610001,57.860001,57.612232,9128500
2020-02-20,57.930000,58.130001,55.830002,56.540001,56.297886,11139500
2020-02-21,55.650002,57.820000,55.400002,56.450001,56.208271,9585500
2020-02-26,null,null,null,null,null,null
2020-02-27,52.000000,53.400002,50.020000,50.250000,50.034821,14704700
2020-02-28,49.000000,50.520000,47.220001,50.520000,50.303665,19699800
2020-03-02,50.700001,53.439999,49.820000,52.549999,52.324970,16152900
2020-03-03,52.680000,54.799999,51.669998,52.849998,52.623684,14598000
2020-03-04,54.400002,54.459999,51.869999,52.450001,52.225399,11335600
2020-03-05,52.000000,52.000000,46.599998,47.790001,47.585354,21196500
2020-03-06,44.130001,46.410000,43.049999,45.330002,45.135891,28342800
2020-03-09,39.020000,42.360001,38.779999,40.360001,40.187172,24294600
2020-03-10,45.000000,47.009998,42.279999,46.990002,46.788784,20528500
2020-03-11,45.000000,46.770000,39.900002,43.080002,42.895527,20082900
2020-03-12,36.000000,38.830002,30.570000,34.000000,33.854404,17509200
2020-03-13,42.500000,42.759998,34.209999,42.000000,41.820148,30140700
2020-03-16,35.000000,39.910000,34.070000,34.070000,33.924107,23096200
2020-03-17,36.119999,37.680000,32.849998,35.570000,35.417683,27054900
2020-03-18,32.020000,33.619999,26.469999,28.809999,28.686630,30437100
2020-03-19,27.500000,31.370001,25.000000,30.549999,30.419178,28180800
2020-03-20,32.799999,36.070000,30.650000,30.650000,30.518751,28366800
2020-03-23,32.500000,32.930000,29.559999,30.209999,30.080635,21456500
2020-03-24,33.720001,37.790001,33.720001,36.680000,36.522930,20687300
2020-03-25,36.900002,43.349998,36.720001,40.000000,39.828712,31293400
2020-03-26,40.639999,44.400002,40.259998,41.119999,40.943916,22885300
2020-03-27,38.689999,40.740002,37.650002,39.000000,38.832996,17073500
2020-03-30,41.000000,42.020000,39.799999,41.599998,41.421860,18942200
2020-03-31,42.480000,43.200001,38.810001,38.990002,38.823040,24290400
2020-04-01,37.400002,39.130001,36.070000,37.480000,37.319504,18415300
2020-04-02,38.220001,38.700001,35.110001,35.889999,35.736313,20572500
2020-04-03,35.340000,35.650002,33.330002,35.540001,35.387814,16452600
2020-04-06,38.400002,39.380001,37.220001,38.200001,38.036423,16251500
2020-04-07,41.439999,42.599998,40.090000,40.090000,39.918327,19648800
2020-04-08,40.270000,42.200001,39.439999,41.959999,41.780319,15821300
2020-04-09,42.820000,43.700001,41.259998,41.650002,41.471649,12969900
2020-04-13,41.090000,42.099998,40.669998,41.919998,41.740490,7845500
2020-04-14,42.900002,43.400002,42.340000,42.919998,42.919998,10320900
2020-04-15,42.099998,44.320000,41.500000,43.849998,43.849998,13462700
